PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.5720809,-0.2901961,-0.753912,0.1033106,0.9889503,0.354902,180,112,1,b47001
-0.1313917,0.8901961,-0.2617438,0.07404449,0.6428571,0.945098,250,240,232,faf0e8
0.1032711,0.7294118,0.1070061,0.6221733,0.2173913,0.8647059,213,217,228,d5d9e4
-0.1374941,0.4352942,-0.2382621,0.0833,0.3055556,0.7176471,205,183,161,cdb7a1
-0.704436,0.05098045,-0.7079343,0.1246058,1,0.5254902,255,194,13,ffc20d
-0.05218166,0.8313725,-0.1039504,0.07404449,0.2093023,0.9156862,238,233,228,eee9e4
0.0266978,0.5411766,0.02405502,0.63328,0.04273505,0.7705883,194,195,199,c2c3c7
-0.2682257,-0.5490196,-0.2764658,0.1225925,0.4608696,0.2254902,84,70,31,54461f
0.03891505,0.4196079,0.02988325,0.645775,0.05405405,0.7098039,177,178,185,b1b2b9
-0.5449733,-0.517647,-0.373756,0.1543242,0.7723577,0.2411765,109,102,14,6d660e
-0.1301312,0.3960785,-0.6184773,0.03300567,0.6883117,0.6980392,231,146,125,e7927d
-0.6277177,-0.1764706,-0.7459639,0.1113337,0.9904762,0.4117647,209,140,0,d18c00
-0.6280748,-0.1294118,-0.7440842,0.1115761,0.981982,0.4352941,220,147,1,dc9301
-0.09787846,0.7607844,-0.2473219,0.05997597,0.4098361,0.8803922,237,221,212,edddd4
-0.2425295,-0.3254902,-0.6722449,0.05510612,0.755814,0.3372549,151,63,21,973f15
0.03835633,0.4235294,-0.1619052,0.9629778,0.1836735,0.7117647,195,167,173,c3a7ad
-0.1094849,0.0862745,-0.08901168,0.1413576,0.1416309,0.5431373,155,150,121,9b9679
-0.03272571,0.2823529,-0.1698668,0.0302909,0.1803279,0.6411765,180,152,146,b49892
-0.2943194,-0.2784314,-0.1070769,0.1944667,0.326087,0.3607843,111,122,62,6f7a3e
0.111695,0.6156863,0.1767197,0.5897077,0.2653061,0.8078431,193,205,219,c1cddb
-0.7456621,0,-0.6663243,0.1339333,1,0.5,255,204,0,ffcc00
-0.5986106,-0.1137255,-0.7257364,0.1097692,0.9469026,0.4431373,220,147,6,dc9306
-0.09437453,0.06666672,-0.05453988,0.1666,0.1092437,0.5333334,149,149,123,95957b
-0.3397214,0.3529412,-0.748771,0.06778902,0.8787879,0.6764706,245,159,99,f59f63
-0.4767397,-0.1803921,-0.2755121,0.1666,0.5598086,0.4098039,163,163,46,a3a32e
0.1176453,0.7411765,0.1402838,0.6110666,0.2727273,0.8705882,213,219,231,d5dbe7
-0.7728454,-0.490196,-0.3731246,0.1784141,0.9846154,0.254902,120,129,0,788100
-0.7011401,0.03529418,-0.6775185,0.1277267,0.9756098,0.5176471,252,195,12,fcc30c
0.1018904,0.6509805,0.1676341,0.5869218,0.258427,0.8254902,199,210,222,c7d2de
-0.2984249,-0.5529412,-0.7307819,0.0617037,0.9473684,0.2235294,110,42,2,6e2a02
0.09075793,0.5764706,0.1572734,0.5833,0.2222222,0.7882353,189,201,213,bdc9d5
-0.2107511,-0.3019608,-0.2425817,0.1138433,0.3370787,0.3490196,119,99,59,77633b
-0.758701,0.003921628,-0.6514272,0.1370842,1,0.5019608,255,209,1,ffd101
-0.2588958,-0.3333333,-0.5646183,0.06842498,0.6588236,0.3333333,141,74,28,8d4a1c
-0.3758604,-0.4156862,-0.2393459,0.1597534,0.4899329,0.2921569,111,107,38,6f6b26
0.07314795,0.6196079,0.1352297,0.5789158,0.1958763,0.809804,197,207,216,c5cfd8
-0.5983855,-0.1843137,-0.7314932,0.109123,0.9615384,0.4078431,203,135,4,cb8704
0.1003962,0.5450981,0.1588432,0.5897077,0.2241379,0.772549,184,196,210,b8c4d2
0.02117422,0.5137255,0.05114182,0.562475,0.06451613,0.7568628,189,194,197,bdc2c5
-0.0384298,0.9254901,-0.04582482,0.1110667,0.1578947,0.9627451,247,246,243,f7f6f3
-0.7349632,-0.01568627,-0.6779256,0.1314215,0.9999999,0.4921569,251,198,0,fbc600
0.1103037,0.6078432,0.1745185,0.5897077,0.26,0.8039216,192,204,218,c0ccda
-0.09662185,0.7647059,-0.1674349,0.0833,0.3,0.8823529,234,225,216,eae1d8
-0.6546793,-0.1490196,-0.7410724,0.1151613,1,0.4254902,217,150,0,d99600
-0.02220549,0.2980392,-0.1206253,0.02897389,0.1284916,0.6490196,177,157,153,b19d99
-0.6423622,-0.05098039,-0.7099613,0.1170509,0.9586777,0.4745098,237,168,4,eda804
-0.6426809,-0.1529412,-0.7141903,0.11662,0.9722222,0.4235294,213,150,3,d59603
-0.3106504,0.1803921,-0.4546252,0.0954034,0.5598086,0.5901961,209,158,91,d19e5b
-0.2112451,-0.4549019,-0.6656215,0.04891007,0.7841727,0.272549,124,46,15,7c2e0f
-0.4521758,-0.1764706,-0.6560928,0.09604005,0.8095238,0.4117647,190,118,19,be7613
-0.5658402,-0.4941176,-0.2695729,0.1792398,0.7209302,0.2529412,104,111,18,686f12
0.09682476,0.7411765,0.104415,0.619,0.2121212,0.8705882,215,219,229,d7dbe5
-0.07640789,0.9176471,-0.1522112,0.07404449,0.4285714,0.9588236,249,244,240,f9f4f0
-0.2934091,-0.04313719,-0.1794633,0.1626334,0.3442623,0.4784314,164,162,80,a4a250
-0.1277372,0.06666672,-0.2827145,0.06754055,0.3109244,0.5333334,173,129,99,ad8163
-0.6245512,-0.09019607,-0.742402,0.1113124,0.974138,0.454902,229,154,2,e59a02
-0.1426413,-0.1333333,-0.03941954,0.2070879,0.1493213,0.4333333,119,127,94,777f5e
-0.3346629,0.2745098,-0.4442006,0.1027626,0.5783784,0.6372549,216,175,108,d8af6c
0.01272409,0.4156864,0.07832627,0.5256308,0.08724833,0.7078432,174,185,187,aeb9bb
-0.6376206,-0.1137255,-0.7388337,0.1133181,0.9823009,0.4431373,224,153,2,e09902
